,date,Price
0,2010-05-31,1.44
1,2010-06-30,0.52
2,2010-07-31,0.68
3,2010-08-31,1.08
4,2010-09-30,1.44
5,2010-10-31,1.58
6,2010-11-30,
7,2010-12-31,
8,2011-01-31,1.47
9,2011-02-28,1.24
10,2011-03-31,1.5
11,2011-04-30,1.9
12,2011-05-31,1.29
13,2011-06-30,1.0
14,2011-07-31,0.95
15,2011-08-31,1.12
16,2011-09-30,0.94
17,2011-10-31,1.09
18,2011-11-30,1.75
19,2011-12-31,1.7
20,2012-01-31,3.0
21,2012-02-29,2.48
22,2012-03-31,2.0
23,2012-04-30,1.5
24,2012-05-31,1.0
25,2012-06-30,0.8
26,2012-07-31,0.9
27,2012-08-31,0.96
28,2012-09-30,1.03
29,2012-10-31,0.97
30,2012-11-30,0.89
31,2012-12-31,1.0
32,2013-01-31,1.56
33,2013-02-28,1.64
34,2013-03-31,1.24
35,2013-04-30,0.98
36,2013-05-31,0.96
37,2013-06-30,0.89
38,2013-07-31,0.9
39,2013-08-31,0.9
40,2013-09-30,0.94
41,2013-10-31,1.08
42,2013-11-30,1.01
43,2013-12-31,1.44
44,2014-01-31,1.4
45,2014-02-28,1.42
46,2014-03-31,1.28
47,2014-04-30,1.03
48,2014-05-31,0.7
49,2014-06-30,0.63
50,2014-07-31,0.7
51,2014-08-31,1.08
52,2014-09-30,1.04
53,2014-10-31,0.84
54,2014-11-30,1.28
55,2014-12-31,1.44
56,2015-01-31,1.74
57,2015-02-28,2.01
58,2015-03-31,1.45
59,2015-04-30,1.12
60,2015-05-31,0.73
61,2015-06-30,0.76
62,2015-07-31,0.76
63,2015-08-31,0.78
64,2015-09-30,0.78
65,2015-10-31,0.91
66,2015-11-30,1.06
67,2015-12-31,1.29
68,2016-01-31,1.85
69,2016-02-29,1.99
70,2016-03-31,1.27
71,2016-04-30,0.83
72,2016-05-31,0.79
73,2016-06-30,0.73
74,2016-07-31,0.73
75,2016-08-31,0.73
76,2016-09-30,0.93
77,2016-10-31,1.29
78,2016-11-30,1.03
79,2016-12-31,1.66
80,2017-01-31,2.49
81,2017-02-28,3.16
82,2017-03-31,2.37
83,2017-04-30,1.25
84,2017-05-31,0.89
85,2017-06-30,0.78
86,2017-07-31,0.77
87,2017-08-31,0.78
88,2017-09-30,0.78
89,2017-10-31,0.94
90,2017-11-30,1.27
91,2017-12-31,1.53
92,2018-01-31,1.81
93,2018-02-28,1.9
94,2018-03-31,1.41
95,2018-04-30,1.28
96,2018-05-31,0.95
97,2018-06-30,0.92
98,2018-07-31,1.09
99,2018-08-31,1.13
100,2018-09-30,1.13
101,2018-10-31,1.02
102,2018-11-30,1.28
103,2018-12-31,2.34
104,2019-01-31,2.87
105,2019-02-28,3.23
106,2019-03-31,2.95
107,2019-04-30,2.05
108,2019-05-31,1.34
109,2019-06-30,0.92
110,2019-07-31,0.94
111,2019-08-31,0.93
112,2019-09-30,0.95
113,2019-10-31,1.12
114,2019-11-30,1.46
115,2019-12-31,1.87
